nct_id,indication
NCT06255379,Colorectal Cancer
NCT06255379,Colon Carcinoma
NCT06255379,Rectal Carcinoma
NCT06358638,Sickle Cell Disease
NCT06494514,Pancreatic Cancer
NCT06271551,Prostate Cancer
NCT06297226,Multiple Myeloma
NCT06432296,Malignant Ascites
NCT06099366,Acute Lymphoblastic Leukemia
NCT05679921,Soft Tissue Sarcoma
NCT05735028,Thoracic Neoplasm
NCT06329999,Acute Myeloid Leukemia
NCT06329999,Myelodysplastic Syndrome
NCT06329999,Acute Myeloid Leukemia
NCT06208462,Intrahepatic Cholangiocarcinoma
NCT05967182,Bile Duct Cancer
NCT06440811,Gastric Cancer
NCT06440811,Immune-related Adverse Event
NCT06440811,Chemotherapeutic Toxicity
NCT05567770,Prostate Cancer
NCT06077760,Non-Small Cell Lung Cancer
NCT06132438,Glioblastoma
NCT05995041,Acute Myeloid Leukemia
NCT06017323,Pancreatic Cancer
NCT06109207,Head and Neck Squamous Cell Carcinoma
NCT06081595,Ovarian Cancer
NCT06109064,Myelodysplastic Syndrome
NCT06008119,Colorectal Cancer
NCT06321887,Inflammatory Bowel Disease
NCT06321887,Iron-Deficiency Anemia
NCT05863195,Colorectal Cancer
NCT05863195,Liver Cancer
NCT05863195,Colorectal Cancer
NCT05863195,Colorectal Cancer
NCT05318469,Breast Cancer
NCT05318469,Triple-Negative Breast Cancer
NCT06080893,Anemia
NCT06080893,"Complication,Postoperative"
NCT06080893,Hip Fractures
NCT05888844,Skin Squamous Cell Carcinoma
NCT06092957,Nasopharyngeal Cancer
NCT06092957,De-escalation Therapy
NCT06045689,Myelodysplastic Syndrome
NCT05786573,Warm Autoimmune Hemolytic Anemia
NCT06057168,Central Nervous System Neoplasm
NCT06057168,Central Nervous System Neoplasm
NCT06015568,Non-Small Cell Lung Cancer
NCT06020833,Myelodysplastic Syndrome
NCT06809426,Castration-Resistant Prostate Carcinoma
NCT03529448,Glioblastoma
NCT05907304,Solid Tumors
NCT05918250,Multiple Myeloma
NCT05453396,Post-Transplant Lymphoproliferative Disorder
NCT05453396,B-Cell Non-Hodgkin Lymphoma
NCT05453396,Diffuse Large B-Cell Lymphoma
NCT05453396,Follicular Lymphoma
NCT05453396,Mantle Cell Lymphoma
NCT05453396,Post-Transplant Lymphoproliferative Disorder
NCT05453396,Mantle Cell Lymphoma
NCT05453396,Post-Transplant Lymphoproliferative Disorder
NCT05453396,B-Cell Non-Hodgkin Lymphoma
NCT05453396,Diffuse Large B-Cell Lymphoma
NCT05453396,Follicular Lymphoma
NCT05553041,Glioma
NCT05553041,High-Grade Glioma
NCT05553041,High-Grade Glioma
NCT05553041,Glioma
NCT05553041,Glioma
NCT06041425,Hepatocellular Carcinoma
NCT06041425,Leiomyosarcoma
NCT06041425,Connective and Soft Tissue Neoplasm
NCT06041425,Inflammation
NCT05770531,HER2-Negative Breast Cancer
NCT05770531,Triple-Negative Breast Cancer
NCT06007846,Hepatocellular Carcinoma
NCT06007846,Cirrhosis
NCT05954312,Solid Tumors
NCT05777278,Non-Small Cell Lung Cancer
NCT05850234,Multiple Myeloma
NCT05687110,Solid Tumors
NCT05687110,Solid Tumors
NCT05961696,Acute Lymphoblastic Leukemia
NCT05751265,Gastric Cancer
NCT05443425,Hematology
NCT05443425,Acute Graft Versus Host Disease
NCT05812807,Breast Cancer
NCT05812807,Breast Cancer
NCT05812807,Breast Cancer
NCT05812807,Triple-Negative Breast Cancer
NCT05926960,Male Reproductive System Neoplasm
NCT05443464,Acute Graft Versus Host Disease
NCT05894837,Colorectal Cancer
NCT05894837,Liver Cancer
NCT05400902,Intrahepatic Cholangiocarcinoma
NCT05885464,T Lymphoblastic Lymphoma
NCT05885464,Hematology
NCT05885464,Acute Lymphoblastic Leukemia
NCT05976997,"Peripheral T-Cell Lymphoma, Not Otherwise Specified"
NCT05716516,Brain Metastasis
NCT05139056,Anaplastic Astrocytoma
NCT05139056,WHO Grade 3 Glioma
NCT05139056,Anaplastic Oligodendroglioma
NCT05139056,Glioblastoma
